,ITIN_ID,MKT_ID,MARKET_COUPONS,YEAR,QUARTER,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_STATE_FIPS,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_STATE_FIPS,DEST_WAC,TK_CARRIER_CHANGE,OP_CARRIER_CHANGE,BULK_FARE,PASSENGERS,MARKET_FARE,MARKET_DISTANCE,DISTANCE_GROUP,MARKET_MILES_FLOWN,NONSTOP_MILES,ITIN_GEO_TYPE,MKT_GEO_TYPE,Unnamed: 41
ITIN_ID,1.0,0.9999999999999707,-0.08074379059465879,,-0.1850348528678665,0.012347938569363616,0.012347586041400576,0.01813615565815454,-4.489095760942524e-05,0.06272178895013819,0.008226788057729025,0.008226471255280641,0.00795437430076109,-0.00939207209907258,0.05469797516545543,-0.0018931312073505093,-0.05812662731668913,0.0006330471340408011,0.02337809122919537,-0.0011770467282056305,-0.08732113339110298,-0.08793486131088632,-0.08740323795253778,-0.0778691098166095,0.030766785012755475,0.03066982517736757,
MKT_ID,0.9999999999999707,1.0,-0.08074379059464867,,-0.18503485286811466,0.012347938569365427,0.012347586041402228,0.018136155658157748,-4.4890957612468975e-05,0.06272178895013471,0.008226788057726881,0.008226471255277425,0.00795437430076053,-0.009392072099071884,0.05469797516544374,-0.0018931312073425812,-0.05812662731667626,0.0006330471340411804,0.02337809122918696,-0.0011770467281962775,-0.08732113339108429,-0.08793486131086388,-0.08740323795253281,-0.07786910981660583,0.030766785012744834,0.03066982517735296,
MARKET_COUPONS,-0.08074379059465879,-0.08074379059464867,1.0,,0.06229839331388455,0.031221445896092985,0.031220725890056433,0.1075344351963735,0.03601508187395847,-0.007780959237732247,0.030878462730885452,0.030877751159435845,0.10615748401576847,0.035622795166805846,-0.002727977849075278,0.18947764731031594,0.5566024216099617,-0.0007567315800968225,-0.1459272333368221,0.039234269433920034,0.41168097591030983,0.4060880332456611,0.4075769690590461,0.29567234922029384,-0.0925309725070187,-0.09283718001374558,
YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUARTER,-0.1850348528678665,-0.18503485286811466,0.06229839331388455,,1.0,-0.0030678066312445603,-0.003067970206206008,-0.0032073952708394846,0.0068372363992463955,0.03511816341073191,-0.0019405103396519165,-0.0019406778309069084,-0.0022326297810879,0.004568598222179634,0.03467452694640996,-0.02545828452158312,0.049801682441563216,-0.0031608791919613046,-0.010782251431233436,-0.05291619175126181,0.007956421029053074,0.0075540282466039915,0.008622334254248883,-0.004198322548650263,0.026528936978363445,0.026551006575163877,
ORIGIN_AIRPORT_ID,0.012347938569363616,0.012347938569365427,0.031221445896092985,,-0.0030678066312445603,1.0,0.9999999999249684,0.6401451711372931,-0.08245758100947355,0.20806973847928123,-0.016218143464138354,-0.016218266846237735,-0.012112607189592528,0.016396911721266484,0.0008392483246235554,-0.0016601570817464683,-0.0015148514879102597,-0.0007983995384667611,-0.003626077479836628,0.0023870083255877377,0.06893978254859495,0.06717329982841175,0.06900028754752995,0.06682926329262127,-0.02020786082761608,-0.020155404438456256,
ORIGIN_AIRPORT_SEQ_ID,0.012347586041400576,0.012347586041402228,0.031220725890056433,,-0.003067970206206008,0.9999999999249684,1.0,0.6401452218965804,-0.08245890691982014,0.20806960998170082,-0.016218269056916257,-0.016218392440154657,-0.012112638859240282,0.016397011289371464,0.0008389670670457462,-0.001660065757306716,-0.0015152822679897519,-0.0007983783535496522,-0.0036259493912586677,0.0023870558776676984,0.06894010842265608,0.06717360498355461,0.06900061148949783,0.06682970044605845,-0.02020862326378139,-0.02015616717196005,
ORIGIN_CITY_MARKET_ID,0.01813615565815454,0.018136155658157748,0.1075344351963735,,-0.0032073952708394846,0.6401451711372931,0.6401452218965804,1.0,0.047197352692731245,0.042176570028109206,-0.012879456175860862,-0.01287947974924376,-0.016947454032702067,0.008238334454896239,-0.004836379072287473,0.00019855908995072204,0.0632501255180155,-0.0009992531633196183,-0.019387960518105166,0.005720189135551706,0.07007425958611285,0.06841796068281687,0.0702192247959494,0.059654402564196664,-0.08514340441502212,-0.08533172811606736,
ORIGIN_STATE_FIPS,-4.489095760942524e-05,-4.4890957612468975e-05,0.03601508187395847,,0.0068372363992463955,-0.08245758100947355,-0.08245890691982014,0.047197352692731245,1.0,-0.06995454145127342,0.015744376778407718,0.015744472437437835,0.007880253340824128,-0.06675844473133412,0.0116117084896038,-0.004721584960642475,0.03845878568667835,0.00029154128064125923,-0.025983195670284908,-5.0014673910396704e-05,-0.06446135302770344,-0.06264496529736707,-0.06438897903733468,-0.07379763872034611,-0.01714815567188749,-0.017211445585472853,
ORIGIN_WAC,0.06272178895013819,0.06272178895013471,-0.007780959237732247,,0.03511816341073191,0.20806973847928123,0.20806960998170082,0.042176570028109206,-0.06995454145127342,1.0,0.0008237195219481097,0.0008234393331711604,-0.0050540862660319,0.011456891511213898,0.09216447737873455,-0.012806953316283818,-0.0017390286871626628,-0.0010264589797071661,-0.0033602960004631686,-0.00609615580270855,-0.01073724259358636,-0.017558193140772664,-0.010746854847163251,-0.017952535524045132,0.2381565852856408,0.23869453834941282,
DEST_AIRPORT_ID,0.008226788057729025,0.008226788057726881,0.030878462730885452,,-0.0019405103396519165,-0.016218143464138354,-0.016218269056916257,-0.012879456175860862,0.015744376778407718,0.0008237195219481097,1.0,0.9999999999248851,0.6392480506819803,-0.08318738090934176,0.21026642312464136,-8.04257238935605e-05,-0.0012104381272896151,-0.00018088204402430937,-0.0037382868712404946,0.0020795758663369984,0.06847898252259016,0.06683378497040735,0.06851251858984733,0.06706881534195246,-0.018791494649002958,-0.01879493684921728,
DEST_AIRPORT_SEQ_ID,0.008226471255280641,0.008226471255277425,0.030877751159435845,,-0.0019406778309069084,-0.016218266846237735,-0.016218392440154657,-0.01287947974924376,0.015744472437437835,0.0008234393331711604,0.9999999999248851,1.0,0.6392480909736413,-0.08318872769577772,0.21026629290332452,-8.033674576871563e-05,-0.001210854678300959,-0.00018085731977357178,-0.003738158097498979,0.0020796254007884856,0.06847929287444245,0.06683407300631364,0.06851282750413762,0.06706924046421257,-0.018792245004788665,-0.01879568812573621,
DEST_CITY_MARKET_ID,0.00795437430076109,0.00795437430076053,0.10615748401576847,,-0.0022326297810879,-0.012112607189592528,-0.012112638859240282,-0.016947454032702067,0.007880253340824128,-0.0050540862660319,0.6392480506819803,0.6392480909736413,1.0,0.0455652944094263,0.04441281150656428,0.0023626507481708356,0.06275995488546843,-0.0005993993082017507,-0.019374124366807154,0.0050824287607105926,0.06814936718380758,0.06679202850787323,0.06827276826553895,0.057995996504863076,-0.08161157318433271,-0.0817745633286016,
DEST_STATE_FIPS,-0.00939207209907258,-0.009392072099071884,0.035622795166805846,,0.004568598222179634,0.016396911721266484,0.016397011289371464,0.008238334454896239,-0.06675844473133412,0.011456891511213898,-0.08318738090934176,-0.08318872769577772,0.0455652944094263,1.0,-0.07096798342918434,-0.005548978394547288,0.03819946605442982,-0.0006511973479015461,-0.026001912866850392,0.0008144407902898932,-0.06343696768808271,-0.06147000619932864,-0.06330404498133992,-0.07354211667473937,-0.01494364911631613,-0.014919501814521754,
DEST_WAC,0.05469797516545543,0.05469797516544374,-0.002727977849075278,,0.03467452694640996,0.0008392483246235554,0.0008389670670457462,-0.004836379072287473,0.0116117084896038,0.09216447737873455,0.21026642312464136,0.21026629290332452,0.04441281150656428,-0.07096798342918434,1.0,-0.0136856734584787,0.00027611047249227435,-0.00026904193893681797,-0.003750532069096714,-0.0055735813942119255,-0.005115980993241348,-0.011996405701631775,-0.005130426734194077,-0.012884592010073526,0.2311752584015052,0.23167840551350585,
TK_CARRIER_CHANGE,-0.0018931312073505093,-0.0018931312073425812,0.18947764731031594,,-0.02545828452158312,-0.0016601570817464683,-0.001660065757306716,0.00019855908995072204,-0.004721584960642475,-0.012806953316283818,-8.04257238935605e-05,-8.033674576871563e-05,0.0023626507481708356,-0.005548978394547288,-0.0136856734584787,1.0,0.2063210194628435,0.0018586621477731438,-0.018922264731205167,0.009220643570023782,0.05782226190535075,0.05771394660394306,0.03224069117092061,0.04711593774641829,-0.02959865070932002,-0.029512831265584318,
OP_CARRIER_CHANGE,-0.05812662731668913,-0.05812662731667626,0.5566024216099617,,0.049801682441563216,-0.0015148514879102597,-0.0015152822679897519,0.0632501255180155,0.03845878568667835,-0.0017390286871626628,-0.0012104381272896151,-0.001210854678300959,0.06275995488546843,0.03819946605442982,0.00027611047249227435,0.2063210194628435,1.0,-0.0011760736071092703,-0.09060150826414945,0.028861896367380853,0.1272703522014558,0.1266559501448874,0.12222211087515514,0.0600320601579851,0.016555561160536122,0.016493622826285317,
BULK_FARE,0.0006330471340408011,0.0006330471340411804,-0.0007567315800968225,,-0.0031608791919613046,-0.0007983995384667611,-0.0007983783535496522,-0.0009992531633196183,0.00029154128064125923,-0.0010264589797071661,-0.00018088204402430937,-0.00018085731977357178,-0.0005993993082017507,-0.0006511973479015461,-0.00026904193893681797,0.0018586621477731438,-0.0011760736071092703,1.0,-0.0013702457285652853,-0.0042508058716024194,0.0006427614891461092,0.0006361925282292233,0.0006092890660155249,0.0005837701434126508,-0.0008399503225295342,-0.0008490230849095429,
PASSENGERS,0.02337809122919537,0.02337809122918696,-0.1459272333368221,,-0.010782251431233436,-0.003626077479836628,-0.0036259493912586677,-0.019387960518105166,-0.025983195670284908,-0.0033602960004631686,-0.0037382868712404946,-0.003738158097498979,-0.019374124366807154,-0.026001912866850392,-0.003750532069096714,-0.018922264731205167,-0.09060150826414945,-0.0013702457285652853,1.0,-0.029622108047088532,-0.059716390181077446,-0.05946229146000295,-0.05926519148320004,-0.04262332213350673,0.00024357565206177935,0.0001215269829754994,
MARKET_FARE,-0.0011770467282056305,-0.0011770467281962775,0.039234269433920034,,-0.05291619175126181,0.0023870083255877377,0.0023870558776676984,0.005720189135551706,-5.0014673910396704e-05,-0.00609615580270855,0.0020795758663369984,0.0020796254007884856,0.0050824287607105926,0.0008144407902898932,-0.0055735813942119255,0.009220643570023782,0.028861896367380853,-0.0042508058716024194,-0.029622108047088532,1.0,0.08840558513784899,0.08672410480688283,0.08853639239371759,0.0882453825057082,-0.04951803708953718,-0.04966539680305087,
MARKET_DISTANCE,-0.08732113339110298,-0.08732113339108429,0.41168097591030983,,0.007956421029053074,0.06893978254859495,0.06894010842265608,0.07007425958611285,-0.06446135302770344,-0.01073724259358636,0.06847898252259016,0.06847929287444245,0.06814936718380758,-0.06343696768808271,-0.005115980993241348,0.05782226190535075,0.1272703522014558,0.0006427614891461092,-0.059716390181077446,0.08840558513784899,1.0,0.9830814637941618,0.9985663730153843,0.9690376854905546,-0.43590965934447895,-0.4365165999328792,
DISTANCE_GROUP,-0.08793486131088632,-0.08793486131086388,0.4060880332456611,,0.0075540282466039915,0.06717329982841175,0.06717360498355461,0.06841796068281687,-0.06264496529736707,-0.017558193140772664,0.06683378497040735,0.06683407300631364,0.06679202850787323,-0.06147000619932864,-0.011996405701631775,0.05771394660394306,0.1266559501448874,0.0006361925282292233,-0.05946229146000295,0.08672410480688283,0.9830814637941618,1.0,0.9816614861125701,0.9525771615410187,-0.43406099423141853,-0.4346563333451663,
MARKET_MILES_FLOWN,-0.08740323795253778,-0.08740323795253281,0.4075769690590461,,0.008622334254248883,0.06900028754752995,0.06900061148949783,0.0702192247959494,-0.06438897903733468,-0.010746854847163251,0.06851251858984733,0.06851282750413762,0.06827276826553895,-0.06330404498133992,-0.005130426734194077,0.03224069117092061,0.12222211087515514,0.0006092890660155249,-0.05926519148320004,0.08853639239371759,0.9985663730153843,0.9816614861125701,1.0,0.9683207694402565,-0.4360222023139514,-0.43664396110012166,
NONSTOP_MILES,-0.0778691098166095,-0.07786910981660583,0.29567234922029384,,-0.004198322548650263,0.06682926329262127,0.06682970044605845,0.059654402564196664,-0.07379763872034611,-0.017952535524045132,0.06706881534195246,0.06706924046421257,0.057995996504863076,-0.07354211667473937,-0.012884592010073526,0.04711593774641829,0.0600320601579851,0.0005837701434126508,-0.04262332213350673,0.0882453825057082,0.9690376854905546,0.9525771615410187,0.9683207694402565,1.0,-0.44816061185574735,-0.44883781200145245,
ITIN_GEO_TYPE,0.030766785012755475,0.030766785012744834,-0.0925309725070187,,0.026528936978363445,-0.02020786082761608,-0.02020862326378139,-0.08514340441502212,-0.01714815567188749,0.2381565852856408,-0.018791494649002958,-0.018792245004788665,-0.08161157318433271,-0.01494364911631613,0.2311752584015052,-0.02959865070932002,0.016555561160536122,-0.0008399503225295342,0.00024357565206177935,-0.04951803708953718,-0.43590965934447895,-0.43406099423141853,-0.4360222023139514,-0.44816061185574735,1.0,0.9984062968010687,
MKT_GEO_TYPE,0.03066982517736757,0.03066982517735296,-0.09283718001374558,,0.026551006575163877,-0.020155404438456256,-0.02015616717196005,-0.08533172811606736,-0.017211445585472853,0.23869453834941282,-0.01879493684921728,-0.01879568812573621,-0.0817745633286016,-0.014919501814521754,0.23167840551350585,-0.029512831265584318,0.016493622826285317,-0.0008490230849095429,0.0001215269829754994,-0.04966539680305087,-0.4365165999328792,-0.4346563333451663,-0.43664396110012166,-0.44883781200145245,0.9984062968010687,1.0,
Unnamed: 41,,,,,,,,,,,,,,,,,,,,,,,,,,,
